2015-11-23 09:40:48,827 1860 [main] INFO  n.d.m.IntegrasjonspunktApplication - Starting IntegrasjonspunktApplication on o-kons-gbe-x250 with PID 16396 (C:\work\meldingsutveksling-mellom-offentlige-virksomheter\integrasjonspunkt\target\classes started by kons-gbe in C:\work\meldingsutveksling-mellom-offentlige-virksomheter\integrasjonspunkt)
2015-11-23 09:40:48,950 1983 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4f5991f6: startup date [Mon Nov 23 09:40:48 CET 2015]; root of context hierarchy
2015-11-23 09:40:51,124 4157 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueScheduler,declaringClass=no.difi.meldingsutveksling.config.IntegrasjonspunktBeans]: a definition for bean 'queueScheduler' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:40:51,125 4158 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueService,declaringClass=no.difi.meldingsutveksling.config.IntegrasjonspunktBeans]: a definition for bean 'queueService' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:40:51,126 4159 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=eventLogDAO,declaringClass=no.difi.meldingsutveksling.eventlog.EventLogConfigurarion]: a definition for bean 'eventLogDAO' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:40:51,130 4163 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/work/meldingsutveksling-mellom-offentlige-virksomheter/integrasjonspunkt/target/classes/rest-servlet.xml]
2015-11-23 09:40:51,477 4510 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueService,declaringClass=no.difi.meldingsutveksling.queue.config.QueueConfig]: a definition for bean 'queueService' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:40:51,477 4510 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueDao,declaringClass=no.difi.meldingsutveksling.queue.config.QueueConfig]: a definition for bean 'queueDao' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:40:51,605 4638 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'mvcContentNegotiationManager': replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$EnableWebMvcConfiguration; factoryMethodName=mvcContentNegotiationManager; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$EnableWebMvcConfiguration.class]]
2015-11-23 09:40:51,610 4643 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=mvcUriComponentsContributor,declaringClass=org.springframework.web.servlet.config.annotation.WebMvcConfigurationSupport]: a definition for bean 'mvcUriComponentsContributor' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:40:51,638 4671 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'beanNameViewResolver': replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter.class]]
2015-11-23 09:40:52,994 6027 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [jdbc.properties]
2015-11-23 09:40:53,036 6069 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-11-23 09:40:53,252 6285 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.scheduling.annotation.SchedulingConfiguration' of type [class org.springframework.scheduling.annotation.SchedulingConfiguration$$EnhancerBySpringCGLIB$$677d678f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:40:53,470 6503 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f727e474] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:40:53,511 6544 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'transactionAttributeSource' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:40:53,536 6569 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'transactionInterceptor' of type [class org.springframework.transaction.interceptor.TransactionInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:40:53,545 6578 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:40:54,325 7358 [main] INFO  o.s.b.c.e.j.JettyEmbeddedServletContainerFactory - Server initialized with port: 8085
2015-11-23 09:40:54,333 7366 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.11.v20150529
2015-11-23 09:40:54,528 7561 [main] INFO  / - Initializing Spring embedded WebApplicationContext
2015-11-23 09:40:54,529 7562 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5580 ms
2015-11-23 09:40:56,325 9358 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Creating embedded database 'eventLogDB'
2015-11-23 09:40:58,037 11070 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executing SQL script from class path resource [db/schema/ddl.sql]
2015-11-23 09:40:58,388 11421 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executed SQL script from class path resource [db/schema/ddl.sql] in 350 ms.
2015-11-23 09:40:58,731 11764 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Creating embedded database 'queue'
2015-11-23 09:40:59,104 12137 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executing SQL script from class path resource [queuedb/create-db.sql]
2015-11-23 09:40:59,108 12141 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executed SQL script from class path resource [queuedb/create-db.sql] in 4 ms.
2015-11-23 09:40:59,144 12177 [main] INFO  org.eclipse.jetty.server.Server - Started @13861ms
2015-11-23 09:40:59,165 12198 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Creating embedded database 'eventLogDB'
2015-11-23 09:40:59,176 12209 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executing SQL script from class path resource [db/schema/ddl.sql]
2015-11-23 09:40:59,186 12219 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executed SQL script from class path resource [db/schema/ddl.sql] in 9 ms.
2015-11-23 09:40:59,269 12302 [main] INFO  o.e.j.server.handler.ContextHandler - Stopped o.s.b.c.e.j.JettyEmbeddedWebAppContext@5dacf18d{/,file:/C:/work/meldingsutveksling-mellom-offentlige-virksomheter/integrasjonspunkt/src/main/webapp/,UNAVAILABLE}
2015-11-23 09:48:04,113 1742 [main] INFO  n.d.m.IntegrasjonspunktApplication - Starting IntegrasjonspunktApplication on o-kons-gbe-x250 with PID 12320 (C:\work\meldingsutveksling-mellom-offentlige-virksomheter\integrasjonspunkt\target\classes started by kons-gbe in C:\work\meldingsutveksling-mellom-offentlige-virksomheter\integrasjonspunkt)
2015-11-23 09:48:04,165 1794 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@38234a38: startup date [Mon Nov 23 09:48:04 CET 2015]; root of context hierarchy
2015-11-23 09:48:06,582 4211 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueScheduler,declaringClass=no.difi.meldingsutveksling.config.IntegrasjonspunktBeans]: a definition for bean 'queueScheduler' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:48:06,583 4212 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueService,declaringClass=no.difi.meldingsutveksling.config.IntegrasjonspunktBeans]: a definition for bean 'queueService' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:48:06,584 4213 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=eventLogDAO,declaringClass=no.difi.meldingsutveksling.eventlog.EventLogConfigurarion]: a definition for bean 'eventLogDAO' already exists. This top-level bean definition is considered as an override.
